County,YEAR,Milk_Unit_price_Kshs,Pork_Unit_price_Kshs,Wool_Unit_price_Kshs,Dairy_Cattle,Beef_Cattle,Wool_sheep,Hair_sheep,Dairy_Goats,Meat_Goats,Donkeys,Camels,Log_Hives,Langstroth_Hives,Box_hives,Cab_hives,Turkeys,Ducks,Geese,Guinea_fowl,Pigeons,Doves,Quails,Ostrich,pigs,Rabbits,Chicken_Broilers,Chicken_layers,Chicken_Indigenous,Honey_kg,Wax_kg,Eggs_Trays,Hides_No,Skins_No,Camel_meat_kg,Camel_meat_Unit_price_Kshs,Camel_meat_Total_value_Kshs,Honey_Kgs,Honey_Kgs_Unit_price_Kshs,Honey_Kgs_Total_value_Kshs,Hides,Hides_Unit_price_Kshs,Hides_Total_value_Kshs,Skins,Skins_Unit_price_Kshs,Skins_Total_value_Kshs,Milk_kg,Milk_Total_value_Kshs,Beef_kg,Beef_Unit_price_Kshs,Beef_Total_value_Kshs,Mutton_kg,Mutton_Unit_price_Kshs,Mutton_Total_value_Kshs,Pork_kg,Pork_Total_value_Kshs,Rabbit_meat_kg,Rabbit_Unit_price_Kshs,Rabbit_Total_value_Kshs,Poultry_meat_kg,Poultry_Unit_price_Kshs,Poultry_Total_value_Kshs,Wool_kg,Wool_Total_value_Kshs,chevon_kg,chevon_Unit_price_Kshs,chevon_Total_value_Kshs
Lamu,2023,0,0,0,"10,391","357,504",,"224,422","7,222","1,036,154","73,385","221,508","1,410","1,076",528,,"1,502","4,203","5,038",214,"1,431","1,276","3,091",,"7,734","4,645","7,816","9,066","225,633",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machakos,2021,70,500,30,"62,748","312,137",NA,"206,110","7,596","560,314","24,121",200,"18,844","12,333",NA,,"3,168","5,463","2,268","1,092",50,NA,NA,NA,"8,818","28,498","412,879","432,967","2,191,402","338,584","3,927,240","33,858","47,222","89,091","3,150",550,"1,732,500","758,450","1,000","758,450,000","2,253",800,"1,802,400","11,079",100,"1,107,900","38,027,296","2,661,910,720","4,722,771",520,"2,455,841,018","472,738",600,"283,642,800","409,502","204,751,000","24,421",350,"8,547,350","4,844,463",500,"2,422,231,500","3,250","97,500","270,028",500,"135,014,000"
Machakos,2022,60,600,0,"64,010","305,950",NA,"210,255","7,765","585,340","24,825",210,"25,719","15,085",NA,NA,"3,255","5,580","2,355","1,203",245,NA,0,0,"9,000","43,095","421,177","509,120","2,301,130",,,,,,"2,850",600,"1,710,000","374,893","1,000","374,893,000","36,523",300,"10,956,900","192,757",50,"9,637,850","38,711,430","2,322,685,800","5,052,950",600,"3,031,770,000","422,498",800,"337,998,400","483,528","290,116,800","22,593",350,"7,907,718","4,479,159",367,"1,642,358,300",,NA,"1,106,006",800,"884,804,800"
Machakos,2023,0,0,0,"65,010","300,220",,"187,777","8,143","614,448","25,100",190,"25,719","15,845",,,"4,560","6,435","2,705","1,420",175,,,,"10,627","26,897","446,989","468,386","2,381,287",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Makueni,2021,70,600,160,"30,158","221,227",NA,"113,014","15,396","854,478","42,312",720,"41,345","11,529",NA,,NA,"1,009","3,316",NA,NA,NA,NA,NA,"3,425","18,327","29,886","41,780","1,582,081","668,324","57,330","1,304,014","43,788","213,311",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Makueni,2022,50,700,0,"28,649","210,163",NA,"118,663","15,780","897,201","44,428",720,"42,169","16,221",NA,NA,"1,109","3,646",NA,NA,NA,NA,0,0,"3,251","18,692","23,907","43,029","1,502,975",,,,,,,,NA,"771,915","1,000","771,915,000","28,029",420,"11,772,180","82,351",50,"4,117,550","19,985,706","999,285,300","5,026,834",633,"3,183,661,280","115,892",733,"84,987,467","179,854","125,897,800","18,780",500,"9,390,000","6,119,242",267,"1,631,797,867",,NA,"2,650,742",733,"1,943,877,467"
Makueni,2023,0,0,0,"27,216","199,654",,"112,731","14,992","852,341","38,186",650,"37,314","10,405",,,,911,"2,992",,,,,,"3,082","16,541","26,972","37,706","1,427,828",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandera,2021,167,0,0,"1,684","1,295,432",NA,"1,982,699","6,864","4,251,023","242,707","1,767,001",NA,NA,75,,NA,NA,NA,20,780,NA,NA,NA,NA,NA,"6,265","4,175","65,274","160,058","16,006","66,134",NA,NA,"369,065",650,"239,892,250","92,000","1,000","92,000,000","202,700",120,"24,324,000","80,920",30,"2,427,600","383,229","63,871,500","2,833,720",425,"1,204,331,000","430,990",600,"258,594,000",NA,NA,NA,,NA,"5,192,180",833,"4,326,816,667",NA,NA,"407,261",600,"244,356,600"
Mandera,2022,120,0,0,200,"551,229",NA,"785,487",421,"2,426,944","157,737","340,983",NA,251,NA,NA,23,43,NA,8,NA,15,0,35,NA,NA,"13,384","10,977","27,552",,,,,,,,NA,,,NA,,,NA,,,NA,"43,360,050","5,203,205,940","2,833,720",425,"1,204,331,000","430,990",600,"258,594,000",,NA,,,NA,"5,192,180",584,"3,034,540,756",,NA,"2,592,000",567,"1,468,800,000"
Mandera,2023,0,0,0,51,"597,279",,"636,500",84,"2,537,634","115,162","744,612","20,458",594,48,,,,,,,,,,,,120,"1,853","47,588",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
